tag_name,tag_id
100,1
1800S,2
18Th,3
1920S,4
1940S,5
1950S,6
1960S,7
19Th,8
20Th,9
21St,10
2Nd,11
40K,12
70,13
Abandoned,14
Abduction,15
Abenteuer,16
Ability,17
Abolition,18
Abolitionism,19
Abolitionist,20
Aboriginal,21
Absurd,22
Absurdist,23
Abundance,24
Abuse,25
Abused,26
Abusive,27
Abyssal,28
Academia,29
Academic,30
Academy,31
Acadian,32
Acceptance,33
Accidental,34
Accidents,35
Ace,36
Acheron,37
Acid,38
Acquaintance,39
Acting,40
Action,41
Activism,42
Adaptation,43
Addicts,44
Addiction,45
Adept,46
Adolescent,47
Adoption,48
Adrenaline,49
Adult,50
Adultery,51
Fiction,52
Adventure,53
Advertising,54
Aeronautics,55
Aerospace,56
Affair,57
African Literature,58
Afro,59
Afrocentric,60
After,61
Afterdark,62
Afterlife,63
Age,64
Agency,65
Agents,66
Agoraphobia,67
Ai,68
Aids,69
Air,70
Airborn,71
Airplane,72
Airships,73
Alaska,74
Alchemists,75
Alchemy,76
Alcoholics,77
Alcoholism,78
Aleph,79
Algerian,80
Alien,81
Aliens,82
Alive,83
All,84
Allegory,85
Alliances,86
Alpha,87
Alt,88
Altered,89
Alternate,90
Alternating,91
Alternative,92
Am,93
Amateur,94
Amazons,95
American,96
Americana,97
Americani,98
Americans,99
Amish,100
Amnesia,101
Amor,102
Amulet,103
Analytic,104
Analytical,105
Anarchism,106
Anarcho,107
Anarchy,108
Anasazi,109
Ancient,110
Androids,111
Angel,112
Angelfire,113
Angelology,114
Angels,115
Anglo,116
Angst,117
Angsty,118
Animal,119
Animalia,120
Anime,121
Animals,122
Annexation,123
Antarctic,124
Antarctica,125
Anthology,126
Anthologies,127
Anthro,128
Anthropology,129
Anthropomorphic,130
Anti,131
Antihero,132
Antiquity,133
Antisemitism,134
Apartheid,135
Aphorisms,136
Apocalypse,137
Apocalypsies,138
Apocalyptic,139
Apologetics,140
Apothecary,141
Appalachia,142
Appalachian,143
Apprentice,144
Arab,145
Arabia,146
Arabian,147
Arabic,148
Arabiclit,149
Arachnids,150
Arch,151
Archaelogical,152
Archaeological,153
Archaeology,154
Archeology,155
Archer,156
Archetypes,157
Architecture,158
Archives,159
Arctic,160
Argentine,161
Argentinian,162
Aristocracy,163
Armageddon,164
Arms,165
Army,166
Arranged,167
Arrepios,168
Arsenic,169
Arson,170
Art,171
Arthurian,172
Arthuriana,173
Artifacts,174
Artificial,175
Arts,176
Artsy,177
Ascendance,178
Asian,179
Asphyxia,180
Assasins,181
Assassin,182
Assassination,183
Assassins,184
Asshole,185
Assisted,186
Assorted,187
Astro,188
Astronaut,189
Astronomy,190
Astrophysics,191
Asylum,192
At,193
Atheism,194
Atheist,195
Athletics,196
Atlantis,197
Atomic,198
Atonement,199
Atrocity,200
Attacks,201
Attorney,202
Audio,203
Augmented,204
Aura,205
Auschwitz,206
Aussie,207
Austenesque,208
Australian,209
Australiana,210
Austrian,211
Auto,212
Autobio,213
Biography,214
Automatons,215
Avalon,216
Avant,217
Avatar,218
Aventura,219
Aviation,220
Avventura,221
Awakening,222
War,223
Azione,224
Aztec,225
Baby,226
Bad,227
Badass,228
Baking,229
Ballet,230
Banda,231
Bank,232
Banned,233
Banshee,234
Banter,235
Bard,236
Bardolatry,237
Baroque,238
Baseball,239
Basque,240
Battle,241
Bbw,242
Bd,243
Bds,244
Bdsm,245
Beach,246
Beach-Read,247
Beachy,248
Bean,249
Beat,250
Beatnik,251
Beautiful,252
Beauty,253
Beaux,254
Bedtime,255
Beginning,256
Behavioral,257
Behavioural,258
Beletrie,259
Beletristica,260
Belgian,261
Belletristik,262
Bereavement,263
Berserker,264
Best,265
Bestiaries,266
Young Adult,267
Between,268
Bible,269
Biblical,270
Bibliophilia,271
Bibliothecaris,272
Bibliotherapy,273
Big,274
Bigamy,275
Bigfoot,276
Biker,277
Bikers,278
Bildungromane,279
Bildungsroman,280
Bilim,281
Bilimkurgu,282
Billionaire,283
Billionaires,284
Bio,285
Bioengineering,286
Bioethics,287
Biografia,288
Biografien,289
Biografier,290
Biográficos,291
Biological,292
Biopunk,293
Bios,294
Biotech,295
Biotechnology,296
Biracial,297
Bisexual,298
Bit,299
Bittersweet,300
Bizarre,301
Bizarro,302
Bizzaro,303
Bl,304
Black,305
Blackmail,306
Blacksmithing,307
Blended,308
Blind,309
Bliss,310
Blitz,311
Blizzard,312
Blood,313
Bloodbath,314
Bloodletting,315
Bloodline,316
Blues,317
Bluestocking,318
Board,319
Boardbook,320
Boarding,321
Bodice,322
Bodies,323
Body,324
Bohemia,325
Bombing,326
Bond,327
Bondage,328
Bones,329
Book,330
Books,331
Bootlegging,332
Boss,333
Botany,334
Bounty,335
Boxing,336
Boy,337
Boys,338
Brainship,339
Brainwashing,340
Bravery,341
Brazen,342
Brazilian,343
Breadwinner,344
Breathless,345
Breed,346
Brides,347
Brigands,348
Brit,349
British,350
Britlit,351
Broken,352
Romance,353
Brother,354
Brotherhood,355
Brotherly,356
Brothers,357
Buddhism,358
Buddhist,359
Budo,360
Bully,361
Bureaucracy,362
Buried,363
Burned,364
Bushrangers,365
Business,366
Businessmen,367
Butch,368
C,369
Cabin,370
Cadavers,371
Cajun,372
Calvinism,373
Camelot,374
Camping,375
Campus,376
Can,377
Canadian,378
Canadiana,379
Candidates,380
Canlit,381
Cannablism,382
Cannibalism,383
Canon,384
Caper,385
Capes,386
Capital,387
Capitalism,388
Captive,389
Career,390
Caribbean,391
Carnival,392
Carpathian,393
Cartel,394
Cartographers,395
Cartography,396
Cartoon,397
Cartoons,398
Case,399
Castaways,400
Caste,401
Casters,402
Castle,403
Castrati,404
Casualties,405
Cat,406
Catastrophe,407
Catholic,408
Catholicism,409
Cavemen,410
Celebrity,411
Celestial,412
Celtic,413
Cemetery,414
Censorship,415
Ceo,416
Ceremonies,417
Chain,418
Chains,419
Chameleon,420
Changeling,421
Channeled,422
Chaos,423
Chapter,424
Character,425
Chase,426
Cheater,427
Cheating,428
Cheesy,429
Chemistry,430
Cherub,431
Chevalier,432
Chew,433
Chic,434
Chica,435
Chicano,436
Chick Lit,437
Chiclit,438
Chik,439
Chiklit,440
Children,441
Chilean,442
Chima,443
Chinatown,444
Chinese,445
Chocolate,446
Choice,447
Cholera,448
Christian,449
Christianity,450
Christianliving,451
Christmas,452
Chronicles,453
Church,454
Ci,455
Cia,456
Ciencia,457
Cifi,458
Circus,459
Citadel,460
Civics,461
Civil,462
Civilization,463
Ciència,464
Clandestine,465
Class,466
Classics,467
Clean,468
Cli,469
Cliffhanger,470
Climate,471
Climatology,472
Climbing,473
Clinical,474
Clique,475
Clones,476
Clowns,477
Clues,478
Clàssics,479
Clásicos,480
Clássico,481
Coaching,482
Cocaine,483
Code,484
Codependent,485
Codex,486
Coding,487
Cog,488
Cognition,489
Cognitive,490
Cold,491
Coldfire,492
Collapse,493
College,494
Collide,495
Colombian,496
Colonial,497
Colonisation,498
Colonization,499
Colony,500
Coma,501
Comanche,502
Combat,503
Comedic,504
Comedy,505
Comet,506
Comic,507
Comicbook,508
Comicmanga,509
Comics,510
Comic-Strip,511
Coming,512
Comix,513
Commander,514
Commitment,515
Commune,516
Communism,517
Communist,518
Comp,519
Companion,520
Companionship,521
Comparative,522
Competition,523
Compilations,524
Complicated,525
Science Fiction,526
Computer,527
Computers,528
Computing,529
Concentration,530
Conclave,531
Confessional,532
Confessions,533
Conflict,534
Confucianism,535
Congo,536
Conqueror,537
Conquistadors,538
Consequences,539
Conservation,540
Conspiracy,541
Consumerism,542
Contamination,543
Contemporary,544
Continental,545
Contracts,546
Convicts,547
Cook,548
Cookbook,549
Cookbookery,550
Cookbooks,551
Cookboooks,552
Cookery,553
Cooks,554
Cooking,555
Cooperation,556
Cop,557
Cops,558
Corduroy,559
Corporate,560
Corps,561
Correspondence,562
Corrupt,563
Cosmic,564
Cosmology,565
Cosmos,566
Cosy,567
Counseling,568
Counselling,569
Counter,570
Counterculture,571
Counterfeiters,572
Counterinsurgency,573
Counterterrorism,574
Country,575
Court,576
Courtesan,577
Courtiers,578
Courtroom,579
Courtship,580
Covenant,581
Covert,582
Cowboy,583
Coyote,584
Cozy,585
Crack,586
Craft,587
Crafts,588
Crank,589
Crazy,590
Creation,591
Creative,592
Creativity,593
Creature,594
Creatures,595
Creepy,596
Creole,597
Crime,598
Criminal,599
Criminales,600
Criminology,601
Crises,602
Crisis,603
Critica,604
Critical,605
Criticism,606
Cross,607
Crossdressing,608
Crossfire,609
Crossover,610
Crossroads,611
Crude,612
Cruel,613
Cruelty,614
Crusades,615
Crush,616
Crypto,617
Cryptography,618
Cryptology,619
Cthulhu,620
Cuban,621
Cuento,622
Culinary,623
Cult,624
Cults,625
Culture,626
Cultural,627
Culturally,628
Curse,629
Curvy,630
Custody,631
Cute,632
Cutting,633
Cyber,634
Cyberhard,635
Cyberpunk,636
Cybersecurity,637
Cyberspace,638
Czech,639
Cómics,640
D,641
Dacians,642
Daemon,643
Dance,644
Danse,645
Daoism,646
Dar,647
Dark,648
Darkside,649
Darwinism,650
Data,651
Date,652
Dating,653
Daughters,654
Dead,655
Deaf,656
Dealing,657
Death,658
Decadence,659
Deception,660
Deckare,661
Decolonization,662
Deep,663
Defenders,664
Defiance,665
Defy,666
Dekkarit,667
Demigod,668
Demon,669
Demoniac,670
Demonic,671
Demonica,672
Demonology,673
Demons,674
Denial,675
Depravity,676
Depressing,677
Depression,678
Depth,679
Depths,680
Derecho,681
Desert,682
Deserted,683
Desi,684
Desperation,685
Dessert,686
Destined,687
Destiny,688
Mystery,689
Detektivky,690
Determinism,691
Development,692
Devil,693
Devotion,694
Devotional,695
Devotionals,696
Dewasa,697
Dharma,698
Diary,699
Diaries,700
Diaspora,701
Dictatorship,702
Didactic,703
Dieselpunk,704
Digital,705
Dinosaur,706
Diplomacy,707
Dirty,708
Disability,709
Disabled,710
Disappearance,711
Disaster,712
Discarded,713
Discrimination,714
Disease,715
Disfunctional,716
Dishonesty,717
Dissenters,718
Dissociative,719
Dissonance,720
Distopia,721
Distopian,722
Distopía,723
Disturbing,724
Diverse,725
Diversity,726
Divination,727
Divine,728
Divorce,729
Divulgacion,730
Divulgazione,731
Djinn,732
Dna,733
Dnd,734
Dnp,735
Documentary,736
Dog,737
Dolls,738
Dom,739
Domestic,740
Dominance,741
Domination,742
Donne,743
Doomsday,744
Drag,745
Dragon,746
Dragon-Rider,747
Dragons,748
Drama,749
Dramedy,750
Dream,751
Drow,752
Drowning,753
Drug,754
Drugs,755
Druid,756
Druidism,757
Dràmàk,758
Dráma,759
Dual,760
Dub,761
Duhovnost,762
Duke,763
Dungeons,764
Dust,765
Dutch,766
Dwellings,767
Dying,768
Dynasty,769
Dysfunction,770
Dysfunctional,771
Dystopian,772
Détective,773
Early,774
Earth,775
East,776
Eastern,777
Easy,778
Eccentric,779
Ecchi,780
Eclipse,781
Eco,782
Ecology,783
Econ,784
Economic,785
Economics,786
Ecosystems,787
Ecoterrorism,788
Edification,789
Education,790
Educational,791
Eerie,792
Egoism,793
Egypt,794
Egyptian,795
Egyptology,796
Eighteenth,797
Elder,798
Electromagnetic,799
Elemental,800
Elementary,801
Elf,802
Elite,803
Elizabethan,804
Elseworlds,805
Elves,806
Ember,807
Embezzlement,808
Emergent,809
Emigration,810
Emotional,811
Emp,812
Empathy,813
Emperor,814
Empire,815
Empiricism,816
Empowerment,817
Encounters,818
Encryption,819
Encyclopaedia,820
Encyclopedia,821
End,822
Endurance,823
Enduring,824
Enemies,825
Enforcement,826
Engaged,827
Engineering,828
English,829
Enlightenment,830
Entangled,831
Entertainers,832
Entheogens,833
Entrepreneurship,834
Environment,835
Environmental,836
Environmentalist,837
Envy,838
Eon,839
Epic,840
Epicurean,841
Epidemic,842
Epidemiology,843
Epistemology,844
Epistolar,845
Epistolary,846
Epska,847
Equestrian,848
Equine,849
Era,850
Eros,851
Erotic,852
Erotica,853
Erotik,854
Erotismo,855
Eròtic,856
Erótica,857
Escape,858
Escaped,859
Eschatology,860
Esoteric,861
Esoterica,862
Esoterie,863
Esoterik,864
Esoterismo,865
Esp,866
Espionage,867
Espionagem,868
Espionnage,869
Spirituality,870
Essay,871
Essays,872
Ethics,873
Ethnic,874
Ethnography,875
Eugenics,876
Euro,877
European,878
Euthanasia,879
Evacuation,880
Ever,881
Evil,882
Evolution,883
Evolutionary,884
Ex,885
Excellent,886
Exciting,887
Execution,888
Executioner,889
Exile,890
Existence,891
Existencialism,892
Existencialismo,893
Existential,894
Existentialisme,895
Existentialist,896
Exorcism,897
Exorcist,898
Expanded,899
Expanse,900
Expatriate,901
Expats,902
Expedition,903
Experiment,904
Experimental,905
Exploitation,906
Explorers,907
Exploration,908
Explosions,909
Expose,910
Extinct,911
Extortion,912
Extraterrestrial,913
Extreme,914
F,915
Fable,916
Fables,917
Fabulist,918
Fact,919
Factual,920
Fae,921
Faery,922
Faerie,923
Fairy Tales,924
Fairly,925
Faith,926
Fake,927
Fall,928
Fallen,929
Falling,930
Fallout,931
False,932
Fame,933
Family,934
Families,935
Famine,936
Famtasy,937
Fan,938
Fanasty,939
Fanatasy,940
Fanfic,941
Fant,942
Fantacy,943
Fantaisie,944
Fantasy,945
Fante,946
Far,947
Farce,948
Farm,949
Farming,950
Farsi,951
Fashion,952
Fashioncostume,953
Fast,954
Fate,955
Fated,956
Father,957
Fathers,958
Fbi,959
Fear,960
Fearless,961
Feel,962
Fem,963
Female,964
Femdom,965
Feminism,966
Feminisme,967
Feminismo,968
Feminist,969
Feminista,970
Femme,971
Feral,972
Fertility,973
Feudal,974
Fever,975
Fey,976
Ff,977
Fiabe,978
Fic,979
Ficcao,980
Ficcion,981
Ficción,982
Ficition,983
Ficiton,984
Fict,985
Fictie,986
Fictio,987
Fictitious,988
Ficçao,989
Ficção,990
Fighter,991
Fighting,992
Fiksi,993
Fiktio,994
Fiktion,995
Filipiniana,996
Filipino,997
Filosófia,998
Finance,999
Financial,1000
Fine,1001
Finishing,1002
Finnish,1003
Fire,1004
Firebird,1005
Firefly,1006
Religion,1007
Fireproof,1008
First,1009
Firstborn,1010
Fixi,1011
Flash,1012
Flight,1013
Flintlock,1014
Florida,1015
Fluff,1016
Fluffy,1017
Fluke,1018
Flying,1019
Folk,1020
Folklore,1021
Folktale,1022
Food,1023
Foodie,1024
Foodwriting,1025
Fools,1026
Forbidden,1027
Force,1028
Forced,1029
Foreign,1030
Forensic,1031
Forest,1032
Forever,1033
Forgery,1034
Forgiveness,1035
Formic,1036
Fossils,1037
Foster,1038
Fractured,1039
Frame,1040
Francesa,1041
Franco,1042
Francophilia,1043
Francophone,1044
Franken,1045
Frankenstein,1046
Fraud,1047
Freaks,1048
Free,1049
Freedom,1050
French,1051
Friend,1052
Friends,1053
Friendship,1054
Frog,1055
Frontier,1056
Frontlines,1057
Frost,1058
Fucked,1059
Fugitive,1060
Full,1061
Fumetti,1062
Fumetto,1063
Fun,1064
Fundamentalism,1065
Funeral,1066
Funny,1067
Future,1068
Futuristic,1069
Futurology,1070
G,1071
Galactic,1072
Galapagos,1073
Gallic,1074
Gamblers,1075
Gambling,1076
Game,1077
Gamification,1078
Gang,1079
Gangster,1080
Gargoyles,1081
Gastronomy,1082
Gatekeepers,1083
Gaul,1084
LGBTQ,1085
Gblt,1086
Geek,1087
Geisha,1088
Gender,1089
General,1090
Generation,1091
Generational,1092
Genetic,1093
Genocide,1094
Genre,1095
Gentle,1096
Gentry,1097
Geology,1098
Geopolitics,1099
Georgian,1100
German,1101
Germania,1102
Gestalt,1103
Gettysburg,1104
Ghost,1105
Ghosties,1106
Ghosts,1107
Ghouls,1108
Gialli,1109
Giallo,1110
Giant,1111
Gifted,1112
Gigolo,1113
Gilded,1114
Girl,1115
Girlboss,1116
Girlhood,1117
Girls,1118
Girly,1119
Gizem,1120
Glam,1121
Glbt,1122
Glbtq,1123
Glbtqi,1124
Global,1125
Gnomes,1126
Gnosis,1127
Gnostic,1128
Goblins,1129
God,1130
Goddess,1131
Godly,1132
Gods,1133
Gold,1134
Golden,1135
Golems,1136
Goncourt,1137
Gonzo,1138
Good,1139
Goosebumps,1140
Gore,1141
Gospel,1142
Gossip,1143
Goth,1144
Gothic,1145
Governess,1146
Government,1147
Grail,1148
Graphic Novels,1149
Great,1150
Greco,1151
Greed,1152
Greek,1153
Grey,1154
Grief,1155
Grieving,1156
Grim,1157
Grimdark,1158
Grimoire,1159
Grit,1160
Gritty,1161
Grovel,1162
Groveling,1163
Growth,1164
Gruesome,1165
Guardian,1166
Guards,1167
Guerra,1168
Guerrilla,1169
Guilt,1170
Guilty,1171
Gulag,1172
Gunpowder,1173
Guns,1174
Gunslinger,1175
Gutsy,1176
Gypsy,1177
Hacker,1178
Hacking,1179
Hades,1180
Half,1181
Halloween,1182
Hallucinations,1183
Hallucinogenic,1184
Halo,1185
Handler,1186
Happily,1187
Happy,1188
Harassment,1189
Hard,1190
Hardboiled,1191
Hardcore,1192
Harem,1193
Harlem,1194
Harlequin,1195
Harpy,1196
Hasidism,1197
Hate,1198
Haunted,1199
Havana,1200
Hawaiiana,1201
Hea,1202
Healer,1203
Healing,1204
Health,1205
Heart,1206
Heartbreaking,1207
Heat,1208
Heavy,1209
Hedonism,1210
Heist,1211
Hell,1212
Herbalists,1213
Heresy,1214
Hermaphrodite,1215
Hermeneutics,1216
Heroes,1217
Heroic,1218
Heroin,1219
Hetalia,1220
Hetero,1221
Hibernation,1222
Hidden,1223
Hide,1224
High,1225
Higher,1226
Highland,1227
Highlander,1228
Highschool,1229
Hilarity,1230
Hindu,1231
Hinduism,1232
Hip,1233
Hiroshima,1234
Hispanic,1235
Hispanoamericana,1236
Hist,1237
Histoire,1238
Historical,1239
Història,1240
Històric,1241
Històrica,1242
Hitman,1243
Hive,1244
Hockey,1245
Holiday,1246
Holidays,1247
Hollows,1248
Hollywood,1249
Holmesian,1250
Holmesiana,1251
Holmsian,1252
Holocaust,1253
Holocausto,1254
Holy,1255
Home,1256
Homecoming,1257
Homesteaders,1258
Homicide,1259
Homosexual,1260
Homosexuality,1261
Honeymoon,1262
Honor,1263
Hoot,1264
Hopeless,1265
Horor,1266
Horreur,1267
Horro,1268
Horror,1269
Horse,1270
Horses,1271
Host,1272
Hostage,1273
Hot,1274
Hourglass,1275
Human,1276
Humanism,1277
Humanities,1278
Humor,1279
Humorous,1280
Humour,1281
Hungarian,1282
Hunger,1283
Hunter,1284
Hunting,1285
Hurricane,1286
Hybrids,1287
Hypnosis,1288
Hypnotism,1289
Héroïc,1290
Húmor,1291
Iberia,1292
Icefire,1293
Icelandic,1294
Idealism,1295
Identity,1296
Idioms,1297
Idolatry,1298
Idols,1299
Ilium,1300
Illegal,1301
Illness,1302
Illuminati,1303
Illusions,1304
Illustrated,1305
Imaginaire,1306
Imaginary,1307
Imagination,1308
Imagism,1309
Immigrant,1310
Immortal,1311
Imperial,1312
Imperialism,1313
Impostors,1314
Imposture,1315
Imprisonment,1316
Impulse,1317
In,1318
Inca,1319
Incantations,1320
Incarceration,1321
Incarnations,1322
Incest,1323
Indentured,1324
India,1325
Indian,1326
Indie,1327
Indigenous,1328
Individualism,1329
Indonesian,1330
Industrial,1331
Infamous,1332
Infantil,1333
Infected,1334
Infectious,1335
Inference,1336
Inferno,1337
Infidelity,1338
Information,1339
Informational,1340
Infosec,1341
Inheritance,1342
Injustice,1343
Inmates,1344
Insanity,1345
Insatiable,1346
Insect,1347
Insomnia,1348
Inspector,1349
Inspirational,1350
Insta,1351
Instruction,1352
Instructional,1353
Intellectual,1354
Interactive,1355
Interconnected,1356
Intercourse,1357
Interfaith,1358
International,1359
Internment,1360
Interpersonal,1361
Interplanetary,1362
Interracial,1363
Intersectional,1364
Interstellar,1365
Intertwined,1366
Intriga,1367
Intrigue,1368
Introspective,1369
Intuition,1370
Invasion,1371
Investigator,1372
Investigative,1373
Invisibility,1374
Iranian,1375
Ireland,1376
Irish,1377
Islam,1378
Islamic,1379
Islamophobia,1380
Island,1381
Islandia,1382
Isolation,1383
Israeli,1384
It,1385
Italian,1386
Italiana,1387
J,1388
Jaff,1389
Jail,1390
Japan,1391
Japanese,1392
Jazz,1393
